S	-20pa	-15pa	-10pa	-5pa	0pa	5pa	10pa	15pa	20pa
0.4132	-0.0656641802020202	-0.0597903652525252	-0.0454330226262626	-0.0398055943434343	-0.0301881119191919	-0.0184987567676768	-0.00625765333333334	0.00207948727272727	0.00795066060606061
0.4136	-0.0656624274747475	-0.059792117979798	-0.0454356517171717	-0.0398038416161616	-0.0301889882828283	-0.0184978804040404	-0.00625414787878788	0.00208211636363636	0.00795504242424243
0.414	-0.0656606747474747	-0.0597938707070707	-0.0454382808080808	-0.0398020888888889	-0.0301898646464646	-0.018497004040404	-0.00625064242424243	0.00208474545454545	0.00795942424242424
0.4144	-0.065658922020202	-0.0597956234343434	-0.0454409098989899	-0.0398003361616162	-0.030190741010101	-0.0184961276767677	-0.00624713696969697	0.00208737454545454	0.00796380606060606
0.4148	-0.0656571692929293	-0.0597973761616162	-0.045443538989899	-0.0397985834343434	-0.0301916173737374	-0.0184952513131313	-0.00624363151515151	0.00209000363636363	0.00796818787878788
0.4152	-0.0656554165656566	-0.0597991288888889	-0.0454461680808081	-0.0397968307070707	-0.0301924937373737	-0.018494374949495	-0.00624012606060606	0.00209263272727272	0.0079725696969697
0.4156	-0.0656536638383838	-0.0598008816161616	-0.0454487971717172	-0.039795077979798	-0.0301933701010101	-0.0184934985858586	-0.00623662060606061	0.00209526181818182	0.00797695151515152
0.416	-0.0656519111111111	-0.0598026343434343	-0.0454514262626263	-0.0397933252525252	-0.0301942464646465	-0.0184926222222222	-0.00623311515151515	0.00209789090909091	0.00798133333333334
0.4164	-0.0656501583838384	-0.0598043870707071	-0.0454540553535354	-0.0397915725252525	-0.0301951228282828	-0.0184917458585859	-0.0062296096969697	0.00210052	0.00798571515151515
0.4168	-0.0656484056565656	-0.0598061397979798	-0.0454566844444444	-0.0397898197979798	-0.0301959991919192	-0.0184908694949495	-0.00622610424242424	0.00210314909090909	0.00799009696969697
0.4172	-0.0656466529292929	-0.0598078925252525	-0.0454593135353535	-0.0397880670707071	-0.0301968755555556	-0.0184899931313131	-0.00622259878787879	0.00210577818181818	0.00799447878787879
0.4176	-0.0656449002020202	-0.0598096452525253	-0.0454619426262626	-0.0397863143434343	-0.0301977519191919	-0.0184891167676768	-0.00621909333333333	0.00210840727272727	0.00799886060606061
0.418	-0.0656431474747475	-0.059811397979798	-0.0454645717171717	-0.0397845616161616	-0.0301986282828283	-0.0184882404040404	-0.00621558787878788	0.00211103636363636	0.00800324242424242
0.4184	-0.0656413947474747	-0.0598131507070707	-0.0454672008080808	-0.0397828088888889	-0.0301995046464646	-0.018487364040404	-0.00621208242424242	0.00211366545454545	0.00800762424242424
0.4188	-0.065639642020202	-0.0598149034343434	-0.0454698298989899	-0.0397810561616162	-0.030200381010101	-0.0184864876767677	-0.00620857696969697	0.00211629454545454	0.00801200606060606
0.4192	-0.0656378892929293	-0.0598166561616162	-0.045472458989899	-0.0397793034343434	-0.0302012573737374	-0.0184856113131313	-0.00620507151515152	0.00211892363636363	0.00801638787878788
0.4196	-0.0656366663973064	-0.0598185854994388	-0.0454750502356902	-0.039777878698092	-0.0302022220426487	-0.0184848484848485	-0.00620121283950617	0.00212111120089786	0.00802040386083053
0.42	-0.0656390033670034	-0.0598217014590348	-0.0454773872053872	-0.039778657687991	-0.0302037800224467	-0.0184848484848485	-0.00619498092031426	0.00212033221099887	0.00802196184062851
0.4204	-0.0656413403367003	-0.0598248174186308	-0.0454797241750842	-0.03977943667789	-0.0302053380022447	-0.0184848484848485	-0.00618874900112234	0.00211955322109988	0.00802351982042649
0.4208	-0.0656436773063973	-0.0598279333782267	-0.0454820611447811	-0.039780215667789	-0.0302068959820426	-0.0184848484848485	-0.00618251708193041	0.00211877423120089	0.00802507780022447
0.4212	-0.0656460142760943	-0.0598310493378227	-0.0454843981144781	-0.039780994657688	-0.0302084539618406	-0.0184848484848485	-0.0061762851627385	0.0021179952413019	0.00802663578002245
0.4216	-0.0656483512457912	-0.0598341652974186	-0.0454867350841751	-0.039781773647587	-0.0302100119416386	-0.0184848484848485	-0.00617005324354658	0.00211721625140291	0.00802819375982043
0.422	-0.0656506882154882	-0.0598372812570146	-0.0454890720538721	-0.039782552637486	-0.0302115699214366	-0.0184848484848485	-0.00616382132435466	0.00211643726150392	0.00802975173961841
0.4224	-0.0656530251851852	-0.0598403972166105	-0.045491409023569	-0.039783331627385	-0.0302131279012346	-0.0184848484848485	-0.00615758940516274	0.00211565827160493	0.00803130971941639
0.4228	-0.0656553621548821	-0.0598435131762065	-0.045493745993266	-0.039784110617284	-0.0302146858810325	-0.0184848484848485	-0.00615135748597082	0.00211487928170594	0.00803286769921437
0.4232	-0.0656576991245791	-0.0598466291358025	-0.045496082962963	-0.0397848896071829	-0.0302162438608305	-0.0184848484848485	-0.0061451255667789	0.00211410029180695	0.00803442567901235
0.4236	-0.0656600360942761	-0.0598497450953984	-0.0454984199326599	-0.0397856685970819	-0.0302178018406285	-0.0184848484848485	-0.00613889364758698	0.00211332130190796	0.00803598365881033
0.424	-0.0656623730639731	-0.0598528610549944	-0.0455007569023569	-0.0397864475869809	-0.0302193598204265	-0.0184848484848485	-0.00613266172839506	0.00211254231200897	0.00803754163860831
0.4244	-0.06566471003367	-0.0598559770145904	-0.0455030938720539	-0.0397872265768799	-0.0302209178002245	-0.0184848484848485	-0.00612642980920314	0.00211176332210998	0.00803909961840629
0.4248	-0.065667047003367	-0.0598590929741863	-0.0455054308417508	-0.0397880055667789	-0.0302224757800225	-0.0184848484848485	-0.00612019789001122	0.002110984332211	0.00804065759820427
0.4252	-0.065669383973064	-0.0598622089337823	-0.0455077678114478	-0.0397887845566779	-0.0302240337598204	-0.0184848484848485	-0.00611396597081931	0.00211020534231201	0.00804221557800225
0.4256	-0.0656717209427609	-0.0598653248933782	-0.0455101047811448	-0.0397895635465769	-0.0302255917396184	-0.0184848484848485	-0.00610773405162738	0.00210942635241301	0.00804377355780023
0.426	-0.0656740579124579	-0.0598684408529742	-0.0455124417508418	-0.0397903425364759	-0.0302271497194164	-0.0184848484848485	-0.00610150213243547	0.00210864736251403	0.0080453315375982
0.4264	-0.0656763948821549	-0.0598715568125701	-0.0455147787205387	-0.0397911215263749	-0.0302287076992144	-0.0184848484848485	-0.00609527021324355	0.00210786837261504	0.00804688951739618
0.4268	-0.0656787318518518	-0.0598746727721661	-0.0455171156902357	-0.0397919005162739	-0.0302302656790123	-0.0184848484848485	-0.00608903829405163	0.00210708938271604	0.00804844749719417
0.4272	-0.0656810688215488	-0.0598777887317621	-0.0455194526599327	-0.0397926795061728	-0.0302318236588103	-0.0184848484848485	-0.00608280637485971	0.00210631039281706	0.00805000547699215
0.4276	-0.0656834057912458	-0.059880904691358	-0.0455217896296296	-0.0397934584960718	-0.0302333816386083	-0.0184848484848485	-0.00607657445566779	0.00210553140291807	0.00805156345679013
0.428	-0.0656857427609427	-0.059884020650954	-0.0455241265993266	-0.0397942374859708	-0.0302349396184063	-0.0184848484848485	-0.00607034253647587	0.00210475241301908	0.00805312143658811
0.4284	-0.0656880797306397	-0.0598871366105499	-0.0455264635690236	-0.0397950164758698	-0.0302364975982043	-0.0184848484848485	-0.00606411061728395	0.00210397342312009	0.00805467941638609
0.4288	-0.0656904167003367	-0.0598902525701459	-0.0455288005387205	-0.0397957954657688	-0.0302380555780022	-0.0184848484848485	-0.00605787869809203	0.0021031944332211	0.00805623739618407
0.4292	-0.0656927536700337	-0.0598933685297419	-0.0455311375084175	-0.0397965744556678	-0.0302396135578002	-0.0184848484848485	-0.00605164677890011	0.00210241544332211	0.00805779537598204
0.4296	-0.0656950906397306	-0.0598964844893378	-0.0455334744781145	-0.0397973534455668	-0.0302411715375982	-0.0184848484848485	-0.00604541485970819	0.00210163645342312	0.00805935335578002
0.43	-0.0656974276094276	-0.0598996004489338	-0.0455358114478115	-0.0397981324354658	-0.0302427295173962	-0.0184848484848485	-0.00603918294051627	0.00210085746352413	0.008060911335578
0.4304	-0.0656997645791246	-0.0599027164085297	-0.0455381484175084	-0.0397989114253648	-0.0302442874971942	-0.0184848484848485	-0.00603295102132435	0.00210007847362514	0.00806246931537598
0.4308	-0.0657021015488215	-0.0599058323681257	-0.0455404853872054	-0.0397996904152638	-0.0302458454769921	-0.0184848484848485	-0.00602671910213243	0.00209929948372615	0.00806402729517396
0.4312	-0.0657044385185185	-0.0599089483277217	-0.0455428223569024	-0.0398004694051627	-0.0302474034567901	-0.0184848484848485	-0.00602048718294052	0.00209852049382716	0.00806558527497194
0.4316	-0.0657067754882155	-0.0599120642873176	-0.0455451593265993	-0.0398012483950617	-0.0302489614365881	-0.0184848484848485	-0.0060142552637486	0.00209774150392817	0.00806714325476992
0.432	-0.0657091124579125	-0.0599151802469136	-0.0455474962962963	-0.0398020273849607	-0.0302505194163861	-0.0184848484848485	-0.00600802334455668	0.00209696251402918	0.0080687012345679
0.4324	-0.0657114494276094	-0.0599182962065095	-0.0455498332659933	-0.0398028063748597	-0.0302520773961841	-0.0184848484848485	-0.00600179142536476	0.00209618352413019	0.00807025921436588
